lambda,cv_mse_mean,cv_mse_std
0.001,18791.46054720286,8598.497139211762
0.0011233240329780276,18789.676188078825,8596.235820907534
0.0012618568830660211,18787.67372174422,8593.6969269437
0.0014174741629268048,18785.426756303765,8590.846564862164
0.0015922827933410922,18782.90577597746,8587.646750910311
0.001788649529057435,18780.077789450646,8584.054928488753
0.002009233002565048,18776.90594338083,8580.023433169112
0.002257019719633919,18773.349098882318,8575.498899220553
0.0025353644939701114,18769.361369053484,8570.421602356377
0.002848035868435802,18764.89161599542,8564.724733238809
0.0031992671377973846,18759.882906341867,8558.333596216986
0.003593813663804626,18754.27192513015,8551.164727843858
0.004037017258596553,18747.98834893963,8543.12492998643
0.004534878508128582,18740.954180691457,8534.110212866433
0.0050941380148163806,18733.08305040446,8524.00464423338
0.00572236765935022,18724.279488638153,8512.67910218083
0.006428073117284319,18714.43818241477,8499.989930995418
0.007220809018385464,18703.44322719789,8485.777502024373
0.008111308307896872,18691.16739312226,8469.864685057133
0.009111627561154887,18677.471429195695,8452.055240342608
0.010235310218990263,18662.20343570466,8432.132147374325
0.011497569953977356,18645.19834255504,8409.855894251214
0.01291549665014884,18626.277539727784,8384.962761081255
0.014508287784959394,18605.248715258407,8357.163142896741
0.016297508346206444,18581.905965845486,8326.139972219215
0.01830738280295368,18556.030254850448,8291.54731908634
0.020565123083486514,18527.390301285872,8253.009267278156
0.02310129700083159,18495.74399030478,8210.119189768895
0.02595024211399736,18460.8403992439,8162.4395739746415
0.029150530628251757,18422.422531547396,8109.502577715583
0.03274549162877728,18380.230841684846,8050.811529040604
0.036783797718286326,18334.007614892915,7985.8436155939
0.04132012400115337,18283.502233560546,7914.054039675212
0.046415888336127795,18228.477314883945,7834.881940277748
0.052140082879996844,18168.715640225913,7747.758398893513
0.05857020818056667,18104.027714978176,7652.116846613493
0.0657933224657568,18034.259700245515,7547.406170310905
0.07390722033525779,17959.30134885683,7433.106769779622
0.08302175681319744,17879.093466206254,7308.749740971854
0.093260334688322,17793.63431332849,7173.939250501072
0.10476157527896651,17702.984291328412,7028.378024661583
0.11768119524349979,17607.26821135453,6871.895708577706
0.13219411484660287,17506.674481804916,6704.479669447256
0.1484968262254465,17401.450650756855,6526.307638493323
0.1668100537200059,17291.89493646063,6337.781427078614
0.1873817422860383,17178.34366126447,6139.560827065922
0.21049041445120198,17061.15485999026,5932.596714263141
0.23644894126454072,16940.68873327657,5718.162291906609
0.26560877829466867,16817.2860176148,5497.881275093817
0.298364724028334,16691.24569673303,5273.751511423218
0.3351602650938841,16562.80373349782,5048.161882862444
0.37649358067924676,16432.114615997638,4823.899113206289
0.4229242874389499,16299.237460681645,4604.139086030805
0.4750810162102798,16164.12819511565,4392.414359290583
0.5336699231206307,16026.638970300066,4192.546044711078
0.5994842503189409,15886.52546247644,4008.5252534846604
0.6734150657750821,15743.462162960855,3844.3293980988024
0.7564633275546291,15597.065171975148,3703.665670372908
0.8497534359086438,15446.921457600616,3589.6517719803965
0.9545484566618337,15292.623058644816,3504.472264606787
1.072267222010323,15133.804340155364,3449.0787367339144
1.2045035402587825,14970.180186632013,3423.015321026346
1.3530477745798062,14801.58296690189,3424.4311652647934
1.5199110829529332,14627.996239937327,3450.2893441903652
1.7073526474706904,14449.58348816739,3496.721961754897
1.9179102616724888,14266.71063671152,3559.4452756277547
2.1544346900318843,14079.961692443403,3634.150580064131
2.420128264794381,13890.147446345709,3716.815785057416
2.71858824273294,13698.307748781435,3803.9178432562708
3.0538555088334154,13505.708318541056,3892.551960744327
3.4304692863149193,13313.833330452302,3980.475823730018
3.8535285937105273,13124.37511880282,4066.0992594237932
4.328761281083057,12939.222241268993,4148.436964344174
4.862601580065354,12760.446903058826,4227.037948001916
5.462277217684343,12590.292392730167,4301.901980457542
6.13590727341317,12431.160783944757,4373.391044583258
6.892612104349695,12285.600760534615,4442.142345005503
7.742636826811269,12156.295063469259,4508.988384535784
8.697490026177835,12046.046761767924,4574.888604964221
9.770099572992246,11957.763327086917,4640.875870428193
10.974987654930567,11894.43734686962,4708.019580277422
12.32846739442066,11859.122641803353,4777.405503297356
13.848863713938718,11854.904556380516,4850.130682764263
15.556761439304722,11884.863264184012,4927.310159778495
17.47528400007683,11952.029073693633,5010.0909706410275
19.630406500402724,12059.328944746909,5099.66801579797
22.051307399030456,12209.523749077762,5197.296045732188
24.77076355991709,12405.136259756884,5304.2922025061425
27.825594022071257,12648.370468960406,5422.024323283654
31.25715849688235,12941.023641366763,5551.8815808027675
35.11191734215127,13284.393519413115,5695.226008760173
39.442060594376564,13679.18427183957,5853.3259655328875
44.30621457583877,14125.416023747073,6027.275418435832
49.770235643321136,14622.343963580284,6217.905702222696
55.90810182512222,15168.393873096244,6425.698602069907
62.80291441834247,15761.121229408769,6650.71069656607
70.54802310718645,16397.20056804575,6892.518488871052
79.24828983539169,17072.45044083776,7150.191884066307
89.02150854450393,17781.897056387952,7422.300339665713
100.0,18519.876722756573,7706.952125645671
